,movieId,title,genres,key,year,n_ratings,mean_rating,x,y
0,0,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,Toy Story,1995,49695,3.9212395613240765,-93.78184,74.296936
1,1,Jumanji,Adventure|Children|Fantasy,Jumanji,1995,22243,3.2119768016904198,-78.09159,-107.294334
2,2,Grumpier Old Men,Comedy|Romance,Grumpier Old Men,1995,12735,3.1510404397330194,27.506392,-73.33844
3,3,Waiting to Exhale,Comedy|Drama|Romance,Waiting to Exhale,1995,2756,2.8613933236574747,-7.8512335,-82.217896
4,4,Father of the Bride Part II,Comedy,Father of the Bride Part II,1995,12161,3.0645917276539762,-10.345706,-71.288704
5,5,Heat,Action|Crime|Thriller,Heat (1995),1995,23899,3.834930331813047,97.77687,-23.863617
6,6,Sabrina,Comedy|Romance,Sabrina (1995),1995,12961,3.3664840675873777,-5.140337,-95.42728
7,7,Tom and Huck,Adventure|Children,Tom and Huck,1995,1415,3.1420494699646633,0.9344516,-76.05634
8,8,Sudden Death,Action,Sudden Death,1995,3960,3.0049242424242424,-75.69251,-25.67872
9,9,GoldenEye,Action|Adventure|Thriller,GoldenEye,1995,29005,3.4300293052921913,-85.824356,19.840889
10,10,The American President,Comedy|Drama|Romance,The American President,1995,18162,3.667712806959586,32.890583,-69.43337
11,11,Dracula: Dead and Loving It,Comedy|Horror,Dracula: Dead and Loving It,1995,3845,2.619765929778933,-107.19457,-28.042957
12,12,Balto,Adventure|Animation|Children,Balto,1995,1461,3.272416153319644,-138.48448,-47.440243
13,13,Nixon,Drama,Nixon,1995,6022,3.4320823646629037,24.859436,60.284786
14,14,Cutthroat Island,Action|Adventure|Romance,Cutthroat Island,1995,2910,2.7219931271477664,-61.52589,-70.99694
15,15,Casino,Crime|Drama,Casino,1995,17394,3.787455444406117,98.280594,-22.86162
16,16,Sense and Sensibility,Drama|Romance,Sense and Sensibility,1995,20667,3.9685730875308463,124.885735,-9.082189
17,17,Four Rooms,Comedy,Four Rooms,1995,5203,3.373630597732077,-5.581744,17.479101
18,18,Ace Ventura: When Nature Calls,Comedy,Ace Ventura: When Nature Calls,1995,20938,2.6074123603018435,-126.70036,-11.7460575
19,19,Money Train,Action|Comedy|Crime|Drama|Thriller,Money Train,1995,4084,2.8807541625857005,-50.508156,-58.199287
20,20,Get Shorty,Comedy|Crime|Thriller,Get Shorty,1995,24116,3.5816885055564773,42.99907,75.96009
21,21,Copycat,Crime|Drama|Horror|Mystery|Thriller,Copycat,1995,9928,3.3193996776792907,-14.7841015,-59.226532
22,22,Assassins,Action|Crime|Thriller,Assassins,1995,4250,3.1482352941176472,-48.700718,-57.80344
23,23,Powder,Drama|Sci-Fi,Powder,1995,7971,3.199849454271735,12.1291685,-85.11988
24,24,Leaving Las Vegas,Drama|Romance,Leaving Las Vegas,1995,21553,3.689509581032803,27.837816,59.667866
25,25,Othello,Drama,Othello (1995),1995,2755,3.6288566243194187,123.78589,1.4653761
